,V1,V2
gn:T03625,fnt,Fusobacterium nucleatum subsp. vincentii 3_1_27
gn:T03626,pman,Pseudomonas mandelii JR-1
gn:T03627,cbab,Serpentinomonas mccroryi B1
gn:T03628,wcl,"Wolbachia wCle, endosymbiont of Cimex lectularius"
gn:T03629,ron,Raoultella ornithinolytica S12
gn:T03630,csx,Corynebacterium singulare IBS B52218
gn:T03631,mpw,Myroides profundi D25
gn:T03632,bgp,Burkholderia plantarii PG1 (Burkholderia glumae PG1)
gn:T03633,cmq,Corynebacterium marinum DSM 44953
gn:T03634,myv,Mycobacterium sp. VKM Ac-1817D
gn:T03635,baco,Bacillus sp. OxB-1
gn:T03636,mcg,Methyloceanibacter caenitepidi Gela4
gn:T03637,bbx,Bordetella bronchiseptica S798
gn:T03638,bpet,Bordetella pertussis B1917
gn:T03639,txi,Thalassospira xiamenensis M-5 = DSM 17429
gn:T03640,acx,Azotobacter chroococcum NCIMB 8003
gn:T03641,kvq,Klebsiella variicola DSM 15968
gn:T03642,cbw,Cupriavidus basilensis 4G11
gn:T03643,yew,Yersinia enterocolitica WA
gn:T03644,yet,Yersinia enterocolitica 2516-87
gn:T03645,hab,Haloarcula sp. CBA1115
gn:T03646,ppj,Pseudomonas plecoglossicida NyZ12
gn:T03647,dmx,Dehalococcoides mccartyi CG1
gn:T03648,dmy,Dehalococcoides mccartyi CG4
gn:T03649,dmz,Dehalococcoides mccartyi CG5
gn:T03650,mpur,Marichromatium purpuratum 984
gn:T03651,mcm,Mycoplasma californicum HAZ160_1
gn:T03654,bbag,Burkholderiales bacterium GJ-E10
gn:T03655,lfu,Lysinibacillus fusiformis RB-21
gn:T03656,nid,Nitrosopumilus piranensis D3C (Candidatus Nitrosopumilus piranensis D3C)
gn:T03657,vau,Vibrio anguillarum NB10
gn:T03658,sans,Streptococcus anginosus SA1
gn:T03659,fpv,Flavobacterium psychrophilum V3-5
gn:T03660,fpw,Flavobacterium psychrophilum V4-24
gn:T03661,fpk,Flavobacterium psychrophilum v4-33
gn:T03662,rrm,Rickettsia rickettsii Morgan
gn:T03663,rrr,Rickettsia rickettsii R
gn:T03664,smue,Candidatus Sulcia muelleri TETUND
gn:T03665,lcx,Lactobacillus casei 12A
gn:T03666,vcs,Vibrio cholerae O1 El Tor MS6
gn:T03667,rep,Rhizobium etli bv. phaseoli IE4803
gn:T03668,cgx,Corynebacterium glutamicum B253
gn:T03669,thr,Thermotoga sp. RQ7
gn:T03670,rtx,Rathayibacter toxicus 70137
gn:T03671,cmur,Chlamydia muridarum Nigg CM972
gn:T03672,smup,Candidatus Sulcia muelleri PSPU
gn:T03673,upr,Ureaplasma parvum serovar 3 SV3F4
gn:T03674,siz,Streptococcus iniae SFST01-82
gn:T03675,btw,Bacillus thuringiensis HD1011
gn:T03676,myt,Mycoplasma yeatsii GM274B
gn:T03677,ypu,Yersinia pseudotuberculosis MD67
gn:T03678,ypr,Yersinia pseudotuberculosis EP2/+
gn:T03679,ypc,Yersinia pseudotuberculosis 1
gn:T03680,lpb,Lactobacillus plantarum B21
gn:T03681,laf,Lactobacillus acidophilus FSI4
gn:T03682,nso,Niabella soli DSM 19437
gn:T03683,obt,Opitutaceae bacterium TAV5
gn:T03684,cmz,Chlamydia muridarum Nigg3 CMUT3-5
gn:T03685,babs,Brucella abortus BER
gn:T03686,babc,Brucella abortus NCTC 10505
gn:T03687,scw,Streptomyces cyaneogriseus subsp. noncyanogenus NMWT 1
gn:T03688,pve,Pandoraea vervacti NS15
gn:T03689,rbu,Rugosibacter aromaticivorans Ca6 (Rhodocyclaceae bacterium PG1-Ca6)
gn:T03690,gsn,Gynuella sunshinyii YC6258
gn:T03692,mmak,Methanococcus maripaludis KA1
gn:T03693,mmao,Methanococcus maripaludis OS7
gn:T03694,mabl,Mycobacteroides abscessus subsp. massiliense CCUG 48898 = JCM 15300
gn:T03695,aoc,Acholeplasma oculi 19L
gn:T03696,eme,Candidatus Evansia muelleri
gn:T03697,mcac,Mycoplasma capricolum subsp. capripneumoniae 9231-Abomsa
gn:T03698,pgb,Photobacterium gaetbulicola Gung47
gn:T03699,sze,Siansivirga zeaxanthinifaciens CC-SAMT-1
gn:T03700,mds,Mycoplasma dispar ATCC 27140
gn:T03701,bacy,Bacillus sp. YP1
gn:T03702,psem,Pseudomonas sp. MRSN12121
gn:T03703,mcap,Mycoplasma capricolum subsp. capripneumoniae F38
gn:T03704,mcar,Mycoplasma capricolum subsp. capripneumoniae ILRI181
gn:T03705,mcai,Mycoplasma capricolum subsp. capripneumoniae 87001
gn:T03706,ecli,Enterobacter cloacae ECNIH5
gn:T03707,eclx,Enterobacter hormaechei subsp. xiangfangensis 34399
gn:T03708,ecly,Enterobacter hormaechei subsp. steigerwaltii 34977
gn:T03709,eclz,Enterobacter hormaechei subsp. hormaechei 34983
gn:T03712,bcoa,Bacillus coagulans DSM 1 = ATCC 7050
gn:T03713,ftc,Francisella tularensis subsp. holarctica FTT_1
gn:T03714,ftv,Francisella tularensis subsp. holarctica VT68
gn:T03715,ftz,Francisella tularensis subsp. holarctica 425
gn:T03716,ypw,Yersinia pestis PBM19
gn:T03717,ypj,Yersinia pestis Harbin35
gn:T03718,ypv,Yersinia pestis Shasta
gn:T03719,ypl,Yersinia pestis El Dorado
gn:T03720,hiw,Haemophilus influenzae 477
gn:T03721,hic,Haemophilus influenzae C486
gn:T03722,hix,Haemophilus influenzae 723
gn:T03723,hpyc,Helicobacter pylori oki112
gn:T03724,hpyd,Helicobacter pylori oki128
gn:T03725,hpye,Helicobacter pylori oki154
gn:T03726,hpyf,Helicobacter pylori oki422
gn:T03727,hpyg,Helicobacter pylori oki673
gn:T03728,hpyh,Helicobacter pylori oki828
gn:T03729,hpyj,Helicobacter pylori oki898
gn:T03730,senc,Salmonella enterica subsp. enterica serovar Tennessee TXSC_TXSC08-19
gn:T03731,sena,Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
gn:T03732,seno,Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
gn:T03733,xcu,Xanthomonas citri pv. citri UI7 (Xanthomonas citri subsp. citri UI7)
gn:T03734,xcn,Xanthomonas citri pv. citri NT17 (Xanthomonas citri subsp. citri NT17)
gn:T03735,xcm,Xanthomonas citri pv. citri MN12 (Xanthomonas citri subsp. citri MN12)
gn:T03736,plb,Candidatus Portiera aleyrodidarum TV-BCN
gn:T03737,plc,Candidatus Portiera aleyrodidarum AD-CAI
gn:T03738,pli,Candidatus Portiera aleyrodidarum AF-CAI
gn:T03739,yee,Yersinia enterocolitica (type O:5) YE53/03
gn:T03740,cfz,Campylobacter fetus subsp. venerealis 84-112
gn:T03741,bsuc,Brucella suis bv. 2 Bs364CITA
gn:T03742,sxo,Staphylococcus xylosus C2a
gn:T03743,mfi,Methanobacterium formicicum DSM1535
gn:T03744,cjy,Campylobacter jejuni subsp. jejuni YH001
gn:T03745,cjq,Campylobacter jejuni subsp. jejuni 35925B2
gn:T03746,kpne,Klebsiella pneumoniae 32192
gn:T03747,kpnu,Klebsiella pneumoniae 34618
gn:T03748,ahh,Aeromonas hydrophila AL06-06
gn:T03749,mhaq,Mannheimia haemolytica 89010807N
gn:T03750,mhay,Mannheimia haemolytica 89010807N lktA-
gn:T03751,sft,Shigella flexneri NCTC1 (serotype 2a)
gn:T03752,xnm,Xenorhabdus nematophila AN6/1
gn:T03753,cpat,Clostridium pasteurianum DSM 525 = ATCC 6013
gn:T03754,bpeu,Bordetella pertussis 137
gn:T03755,gfr,Geospiza fortis (medium ground-finch)
gn:T03756,sld,Streptomyces lydicus A02
gn:T03757,elb,Elizabethkingia miricola BM10 (Elizabethkingia sp. BM10)
gn:T03758,nin,Nitrosopumilus adriaticus NF5 (Candidatus Nitrosopumilus adriaticus NF5)
gn:T03759,bul,Burkholderia sp. 2002721687
gn:T03760,senv,Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
gn:T03761,senq,Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
gn:T03762,blr,Brevibacillus laterosporus LMG 15441
gn:T03763,btha,Burkholderia thailandensis 2003015869
gn:T03764,fpt,Francisella philomiragia subsp. philomiragia ATCC 25015 O#319L
gn:T03765,xoy,Xanthomonas oryzae pv. oryzae PXO86
gn:T03766,pfw,Pseudomonas simiae PCL1751 (Pseudomonas fluorescens PCL1751)
gn:T03767,pff,Pseudomonas simiae PICF7 (Pseudomonas fluorescens PICF7)
gn:T03768,pcz,Pseudomonas chlororaphis PCL1606
gn:T03769,pfb,Pseudomonas synxantha LBUM223 (Pseudomonas fluorescens LBUM223)
gn:T03770,mvs,Moritella viscosa MVIS1
gn:T03771,lfa,Legionella fallonii LLAP-10
gn:T03772,ppse,Pseudomonas pseudoalcaligenes CECT 5344
gn:T03773,cabo,Chlamydia abortus AB7 (Chlamydophila abortus AB7)
gn:T03774,bado,Bifidobacterium adolescentis BBMN23
gn:T03775,ari,Psychromicrobium lacuslunae IHBB 11108 (Arthrobacter sp. IHBB 11108)
gn:T03776,rhb,Rhodococcus sp. B7740
gn:T03777,lhd,Lactobacillus helveticus KLDS1.8701
gn:T03778,rmn,Ralstonia mannitolilytica SN82F48
gn:T03779,xcw,Xanthomonas citri pv. citri MN10 (Xanthomonas citri subsp. citri MN10)
gn:T03780,xcr,Xanthomonas citri pv. citri MN11 (Xanthomonas citri subsp. citri MN11)
gn:T03781,xcf,Xanthomonas citri pv. citri mf20 (Xanthomonas citri subsp. citri mf20)
gn:T03782,kmi,Klebsiella michiganensis RC10
gn:T03783,syh,Synechococcus sp. WH 8109
gn:T03784,xdo,Xenorhabdus doucetiae FRM16
gn:T03785,pdf,Clostridioides difficile 630Derm
gn:T03786,mhat,Mannheimia haemolytica USDA-ARS-USMARC-184
gn:T03787,mavi,Mycobacterium avium subsp. paratuberculosis E1
gn:T03788,kpc,Klebsiella pneumoniae subsp. pneumoniae KPNIH10
gn:T03789,paeb,Pseudomonas aeruginosa NCGM 1900
gn:T03790,saug,"Staphylococcus aureus subsp. aureus SA268, community-associated methicillin-resistant"
gn:T03791,cjl,Campylobacter jejuni subsp. jejuni 00-1597
gn:T03792,cjw,Campylobacter jejuni subsp. jejuni 00-6200
gn:T03793,bdl,Burkholderia dolosa AU0158
gn:T03794,bub,Burkholderia ubonensis MSMB22
gn:T03795,magq,Magnetospira sp. QH-2
gn:T03796,mbx,Mycobacterium tuberculosis variant bovis BCG ATCC 35743 (Mycobacterium bovis BCG ATCC 35743)
gn:T03797,smua,Streptococcus mutans UA159-FR
gn:T03798,bmyo,Bacillus mycoides ATCC 6462
gn:T03799,bfn,Paraburkholderia fungorum ATCC BAA-463 (Burkholderia fungorum ATCC BAA-463)
gn:T03800,hak,Halomonas sp. KO116
gn:T03801,mey,Martelella endophytica YC6887
gn:T03802,pbj,Paenibacillus beijingensis DSM 24997
gn:T03803,csq,Clostridium scatologenes ATCC 25775
gn:T03804,bceo,Burkholderia cenocepacia H111
gn:T03805,xpo,Xenorhabdus poinarii G6
gn:T03806,ccel,Clostridium cellulosi
gn:T03807,ped,Peptoniphilus sp. ING2-D1G
gn:T03808,awd,Aliivibrio wodanis
gn:T03809,lha,Legionella hackeliae ATCC 35250
gn:T03810,tmc,Tatlockia micdadei ATCC 33218
gn:T03811,cpae,Clostridium pasteurianum DSM 525 = ATCC 6013
gn:T03812,ppoy,Paenibacillus polymyxa Sb3-1
gn:T03813,pft,Pelosinus fermentans JBW45
gn:T03814,lmu,Lactobacillus mucosae LM1
gn:T03815,mvc,Methanosarcina vacuolata Z-761
gn:T03816,atf,Agrobacterium tumefaciens Ach5
gn:T03817,senl,Salmonella enterica subsp. enterica serovar Enteritidis OLF-SE1-1019-1
gn:T03818,pbt,Fermentimonas caenicola
gn:T03819,srd,Spirosoma radiotolerans DG5A
gn:T03820,bgu,Burkholderia glumae LMG 2196 = ATCC 33617
gn:T03821,mek,Methanosarcina sp. Kolksee
gn:T03822,mls,Methanosarcina lacustris Z-7289
gn:T03823,sals,Streptomyces albus DSM 41398
gn:T03824,rmc,Rickettsia monacensis IrR/Munich
gn:T03825,bmeg,Bacillus megaterium NBRC 15308 = ATCC 14581
gn:T03826,bgo,Burkholderia gladioli ATCC 10248
gn:T03827,vcf,Vibrio cholerae O1 El Tor FJ147
gn:T03828,vcx,Vibrio cholerae O49 1154-74
gn:T03829,vcz,Vibrio cholerae O27 10432-62
gn:T03830,vba,Verrucomicrobia bacterium IMCC26134
gn:T03831,bmel,Brucella melitensis bv. 1 16M
gn:T03832,ypo,Yersinia pseudotuberculosis IP 32953 (serotype 1)
gn:T03833,bacl,Bacillus sp. BS34A
gn:T03834,paly,Candidatus Portiera aleyrodidarum MED (Bemisia tabaci)
gn:T03835,agw,Archaeon GW2011_AR10
gn:T03836,pih,Paenibacillus sp. IHBB 10380
gn:T03837,shh,Staphylococcus haemolyticus Sh29/312/L2
gn:T03838,mby,Methanosarcina barkeri MS
gn:T03839,mbw,Methanosarcina barkeri Wiesmoor
gn:T03840,pox,Pandoraea oxalativorans DSM 23570
gn:T03841,pko,Pontibacter korlensis X14-1T
gn:T03842,reb,Rhodococcus erythropolis BG43
gn:T03843,arg,Archaeon GW2011_AR20
gn:T03844,mbac,Candidatus Methylopumilus turicensis (Methylophilaceae bacterium MMS-10A-171)
gn:T03845,xbv,Xenorhabdus bovienii CS03
gn:T03846,ypf,Yersinia pseudotuberculosis PA3606
gn:T03847,mavu,Mycobacterium avium subsp. paratuberculosis E93
gn:T03848,sphi,Sphingomonas hengshuiensis WHSC-8
gn:T03849,pri,Paenibacillus riograndensis SBR5
gn:T03850,metm,Methanosarcina sp. MTP4
gn:T03851,mef,Methanosarcina sp. WH1
gn:T03852,meq,Methanosarcina sp. WWM596
gn:T03853,pck,Candidatus Pantoea carbekii US
gn:T03854,sns,Sneathia amnii Sn35
gn:T03855,syb,Sphingobium sp. YBL2
gn:T03856,fil,Candidatus Filomicrobium marinum W
gn:T03857,fiy,Candidatus Filomicrobium marinum Y
gn:T03858,aaus,Alteromonas australica DE170
gn:T03859,lis,Leptospira interrogans serovar Linhai 56609
gn:T03860,pfre,Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
gn:T03861,boc,Burkholderia oklahomensis C6786
gn:T03862,cmh,Clavibacter michiganensis subsp. insidiosus R1-1
gn:T03863,msj,Methanosarcina siciliae C2J
gn:T03864,msz,Methanosarcina siciliae HI350
gn:T03865,msw,Methanosarcina siciliae T4/M
gn:T03866,cku,Corynebacterium kutscheri DSM 20755
gn:T03867,dtn,Defluviitoga tunisiensis
gn:T03868,xoz,Xanthomonas oryzae pv. oryzicola CFBP7342
gn:T03869,mbat,Candidatus Methylopumilus planktonicus (Methylophilaceae bacterium MMS-2-53)
gn:T03870,ccof,Campylobacter coli FB1
gn:T03871,bhi,Borrelia hermsii CC1
gn:T03872,bmab,Burkholderia mallei 2002734299
gn:T03873,ftd,Francisella tularensis subsp. novicida F6168
gn:T03874,ftx,Francisella tularensis subsp. novicida U112
gn:T03875,fty,Francisella tularensis subsp. novicida DPG 3A-IS (Francisella tularensis subsp. tularensis WY96)
gn:T03876,rav,Rhodococcus aetherivorans IcdP1
gn:T03877,slh,Sulfurovum lithotrophicum ATCC BAA-797
gn:T03878,hdl,Halobacterium sp. DL1
gn:T03879,aln,Alcanivorax sp. NBRC 101098
gn:T03880,duc,Dehalococcoides sp. UCH007
gn:T03881,bmul,Burkholderia multivorans ATCC BAA-247
gn:T03882,bthl,Burkholderia thailandensis 2002721643
gn:T03883,tah,Candidatus Nitrosotenuis cloacae SAT1
gn:T03884,mlt,Muricauda lutaonensis CC-HSB-11
gn:T03885,pdc,Clostridioides difficile 630 (Clostridium difficile 630)
gn:T03886,ahi,Aeromonas hydrophila AH10
gn:T03887,yrb,Yersinia ruckeri Big Creek 74 (serotype O2)
gn:T03888,ftq,Francisella tularensis subsp. tularensis SCHU S4 NR-28534
gn:T03889,kge,Kangiella geojedonensis YCS-5
gn:T03890,yef,Yersinia enterocolitica FORC_002
gn:T03891,mthe,Methanosarcina thermophila CHTI-55
gn:T03892,mthr,Methanosarcina thermophila TM-1
gn:T03893,bve,Burkholderia vietnamiensis LMG 10929
gn:T03894,xcj,Xanthomonas citri subsp. citri UI6
gn:T03895,bafe,Borreliella afzelii K78
gn:T03896,sall,Streptomyces albulus ZPM
gn:T03897,bfb,Bacteroides fragilis BOB25
gn:T03898,mgb,Mycoplasma gallinaceum B2096 8B
gn:T03899,cuj,Corynebacterium ulcerans 131002
gn:T03900,tmq,Thermotoga maritima Tma100
gn:T03901,tmx,Thermotoga maritima Tma200
gn:T03902,tmw,Thermotoga maritima MSB8
gn:T03903,csj,Cronobacter sakazakii ATCC 29544
gn:T03904,sxi,Streptomyces xiamenensis 318
gn:T03905,cld,Clostridium sporogenes NCIMB 10696
gn:T03906,ben,Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus 757
gn:T03907,bed,Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri 675
gn:T03908,balm,Bacillus sp. LM 4-2
gn:T03909,lpk,Lactococcus piscium MKFS47
gn:T03910,ssoa,Saccharolobus solfataricus SULA
gn:T03911,ssol,Saccharolobus solfataricus SARC-B (Sulfolobus solfataricus SULB)
gn:T03912,ssof,Saccharolobus solfataricus SARC-C (Sulfolobus solfataricus SULC)
gn:T03913,mmet,Methanococcoides methylutens MM1
gn:T03914,mbar,Methanosarcina barkeri 227
gn:T03915,pxy,Plutella xylostella (diamondback moth)
gn:T03916,soc,Solenopsis invicta (red fire ant)
gn:T03917,aec,Acromyrmex echinatior (Panamanian leafcutter ant)
gn:T03918,hst,Harpegnathos saltator (Jerdon's jumping ant)
gn:T03919,cfo,Camponotus floridanus (Florida carpenter ant)
gn:T03920,crg,Crassostrea gigas (Pacific oyster)
gn:T03921,egu,Elaeis guineensis (African oil palm)
gn:T03922,jcu,Jatropha curcas
gn:T03923,ccj,Corynebacterium camporealensis DSM 44610
gn:T03924,thf,Thermofilum uzonense 1807-2
gn:T03925,aay,Altererythrobacter atlanticus 26DY36
gn:T03926,hoe,Hoeflea sp. IMCC20628
gn:T03927,hsu,Halanaeroarchaeum sulfurireducens HSR2
gn:T03928,lok,Legionella oakridgensis ATCC 33761 = DSM 21215
gn:T03929,ssan,Sphingomonas sanxanigenens DSM 19645 = NX02
gn:T03930,bang,Bifidobacterium angulatum DSM 20098 = JCM 7096
gn:T03931,bcat,Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043
gn:T03932,bpsc,Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505
gn:T03933,mhor,Methanosarcina horonobensis HB-1
gn:T03934,cama,Citrobacter amalonaticus Y19
gn:T03935,samy,Sandaracinus amylolyticus DSM 53668
gn:T03936,mcas,Mycoplasma canis LV
gn:T03937,calh,Calothrix sp. 336/3
gn:T03938,dew,Dehalogenimonas sp. WBC-2
gn:T03939,gah,Geoglobus ahangari 234
gn:T03940,shv,Salinicoccus halodurans H3B36
gn:T03941,cmv,Corynebacterium mustelae DSM 45274
gn:T03942,nco,Nitrosomonas communis Nm2
gn:T03943,seds,Sedimenticola thiotaurini SIP-G1 (Sedimenticola sp. SIP-G1)
gn:T03944,ptt,Photorhabdus thracensis DSM 15199
gn:T03945,spoi,Spongiibacter sp. IMCC21906
gn:T03946,emn,Elizabethkingia anophelis FMS-007 (Elizabethkingia meningoseptica FMS-007)
gn:T03947,ptx,Pandoraea thiooxydans DSM 25325
gn:T03948,age,Archangium gephyra DSM 2261
gn:T03949,kpf,Kosmotoga pacifica SLHLJ1
gn:T03950,kin,Phytobacter ursingii CAV1151
gn:T03951,amx,Altererythrobacter marensis KCTC 22370
gn:T03952,pfq,Pragia fontium 24613
gn:T03953,lau,Candidatus Liberibacter africanus PTSAPSY
gn:T03954,cgn,Chryseobacterium gallinarum DSM 27622
gn:T03955,cei,Corynebacterium epidermidicanis DSM 45586
gn:T03956,cted,Corynebacterium testudinoris DSM 44614
gn:T03957,cut,Corynebacterium uterequi DSM 45634
gn:T03958,strm,Streptomyces sp. Mg1
gn:T03959,tvr,Thioalkalivibrio versutus D301
gn:T03960,mye,Mycobacterium sp. EPa45
gn:T03961,xtn,Xanthomonas translucens pv. undulosa strain Xtu 4699
gn:T03962,bpyr,Burkholderia pyrrocinia DSM 10685
gn:T03963,abai,Actinobacteria bacterium IMCC26256
gn:T03964,cna,Croceicoccus naphthovorans PQ-2
gn:T03965,epo,Endomicrobium proavitum Rsa215 (Candidatus Endomicrobium sp. Rsa215)
gn:T03966,gea,Geobacillus sp. 12AMOR1
gn:T03967,psec,Pseudomonas sp. CCOS 191
gn:T03968,strc,Streptomyces sp. CNQ-509
gn:T03969,bcon,Burkholderia contaminans MS14
gn:T03970,scap,Staphylococcus capitis subsp. capitis AYP1020
gn:T03971,cace,Clostridium aceticum DSM 1496
gn:T03972,pfg,Pandoraea faecigallinarum DSM 23572
gn:T03973,satr,Spiroplasma atrichopogonis GNAT3597
gn:T03974,seri,Spiroplasma eriocheiris DSM 21848
gn:T03975,bsca,Bifidobacterium scardovii JCM 12489 = DSM 13734
gn:T03976,lae,Lactobacillus acetotolerans NBRC 13120
gn:T03977,sij,Scardovia inopinata JCM 12537
gn:T03978,pdo,Parascardovia denticolens DSM 10105 = JCM 12538
gn:T03979,cck,Clostridium carboxidivorans P7
gn:T03980,mpq,Marinobacter psychrophilus 20041
gn:T03981,malg,Marinovum algicola DG 898
gn:T03982,psal,Piscirickettsia salmonis LF-89
gn:T03983,beo,Bacillus filamentosus Hbe603
gn:T03984,bsm,Bacillus smithii DSM 4216
gn:T03985,smac,Serratia marcescens subsp. marcescens Db11
gn:T03986,eal,Escherichia albertii KF1
gn:T03987,bpak,Borrelia parkeri HR1
gn:T03988,bgw,Candidate division Kazan bacterium GW2011_GWA1_50_15
gn:T03989,rro,Rhinopithecus roxellana (golden snub-nosed monkey)
gn:T03990,lgn,Lactobacillus ginsenosidimutans EMML 3141
gn:T03991,edw,Edwardsiella sp. EA181011
gn:T03992,bbgw,Berkelbacteria bacterium GW2011_GWE1_39_12
gn:T03993,camu,Cyclobacterium amurskyense KCTC 12363
gn:T03994,yak,Yersinia aleksiciae 159
gn:T03995,lko,Lactobacillus koreensis 26-25
gn:T03996,ruf,Rufibacter sp. DG31D
gn:T03997,ery,Erythrobacter atlanticus s21-N3
gn:T03998,cey,Coxiella mudrowiae CRt (Coxiella-like endosymbiont CRt)
gn:T03999,lst,Leptospira santarosai serovar Shermani LT 821
gn:T04000,agn,Anoxybacillus gonensis G2
gn:T04001,otm,Octadecabacter temperatus SB1
gn:T04002,meu,Methylophilus sp. TWE2
gn:T04003,deq,Devosia sp. H5989
gn:T04004,bhz,Bordetella hinzii F582
gn:T04005,edl,Edwardsiella sp. LADL05-105
gn:T04006,ptv,Pseudomonas trivialis IHBB745
gn:T04007,leg,Leptospirillum sp. Group II 'CF-1'
gn:T04008,mgo,Mycolicibacterium goodii X7B (Mycobacterium goodii X7B)
gn:T04009,metc,Methanothermobacter sp. CaT2
gn:T04010,ccro,Chondromyces crocatus Cm c5
gn:T04011,wma,Wenzhouxiangella marina KCTC 42284
gn:T04012,ssch,Staphylococcus schleiferi 1360-13
gn:T04013,pyw,Pyrobaculum sp. WP30
gn:T04014,ars,Arsenicicoccus sp. oral taxon 190
gn:T04015,loki,Lokiarchaeum sp. GC14_75 (composite genome assembled from a metagenomic sample)
gn:T04016,olo,Olsenella sp. oral taxon 807 F0089
gn:T04017,sele,Selenomonas sp. oral taxon 478
gn:T04018,gel,Geobacillus sp. LC300
gn:T04019,azi,Azoarcus sp. CIB
gn:T04020,cgra,Campylobacter gracilis ATCC 33236
gn:T04021,cure,Campylobacter ureolyticus RIGS 9880
gn:T04022,mib,Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16
gn:T04023,pwo,Candidatus Wolfebacteria bacterium GW2011_GWB1_47_1
gn:T04024,lmoi,Luteipulveratus mongoliensis MN07-A0370
gn:T04025,hgi,Haloferax gibbonsii ARA6
gn:T04026,mnr,Massilia sp. NR 4-1
gn:T04027,amy,Schaalia meyeri W712
gn:T04028,oai,Oleispira antarctica RB-8
gn:T04029,ham,Halomonas sp. R57-5
gn:T04030,sfw,Serratia fonticola DSM 4576
gn:T04031,oto,Ottowia sp. oral taxon 894 W10237
gn:T04032,pfus,Prevotella fusca JCM 17724 W1435
gn:T04033,llu,Labilithrix luteola DSM 27648
gn:T04034,stur,Spiroplasma turonicum Tab4c
gn:T04035,vin,Vulgatibacter incomptus DSM 27710
gn:T04036,bact,Bifidobacterium actinocoloniiforme DSM 22766
gn:T04037,mpk,Microcystis panniformis FACHB-1757
gn:T04038,euu,Eubacterium sulci ATCC 35585
gn:T04039,hht,Herbaspirillum hiltneri N3
gn:T04040,chel,Chelatococcus sp. CO-6
gn:T04041,nmv,Nitrospira moscoviensis NSP M-1
gn:T04042,clw,Corynebacterium lactis RW2-5
gn:T04043,gse,Geobacillus stearothermophilus 10
gn:T04044,leo,Leptotrichia sp. oral taxon 212 W10393
gn:T04045,kpl,Kocuria palustris MU14/1
gn:T04046,mim,Microbacterium sp. CGR1
gn:T04047,sll,Spiroplasma litorale TN-1
gn:T04048,edu,Enterococcus durans KLDS 6.0930
gn:T04049,des,Desulfuromonas soudanensis WTL (Desulfuromonas sp. WTL)
gn:T04050,cgd,Cupriavidus gilardii CR3
gn:T04051,psea,Pseudonocardia sp. AL041005-10
gn:T04052,mari,Marinobacter sp. CP1
gn:T04053,ppeo,Paenibacillus peoriae HS311
gn:T04054,psee,Pseudonocardia sp. EC080625-04
gn:T04055,samb,Streptomyces ambofaciens ATCC 23877
gn:T04056,skn,Spiroplasma kunkelii CR2-3x
gn:T04057,lhi,Lactobacillus heilongjiangensis DSM 28069
gn:T04058,fbt,Flammeovirgaceae bacterium 311
gn:T04059,awa,Anabaena sp. WA102
gn:T04060,ccon,Cronobacter condimenti 1330 LMG 26250
gn:T04061,cdm,Cronobacter dublinensis subsp. dublinensis LMG 23823
gn:T04062,cmj,Cronobacter malonaticus LMG 23826
gn:T04063,cui,Cronobacter universalis NCTC 9529
gn:T04064,hye,Hymenobacter sp. DG25A
gn:T04065,barc,Candidatus Bathyarchaeota archaeon BA1 (Bathyarchaeota archaeon BA1)
gn:T04066,barb,Candidatus Bathyarchaeota archaeon BA2
gn:T04067,cmw,Cronobacter muytjensii ATCC 51329
gn:T04068,cdx,Corynebacterium deserti GIMN1.010
gn:T04069,sphp,Sphingopyxis sp. 113P3
gn:T04070,aep,Altererythrobacter epoxidivorans CGMCC 1.7731
gn:T04071,tsn,Candidatus Thioglobus singularis PS1
gn:T04072,hsd,Herbinix luporum (Herbinix sp. SD1D)
gn:T04073,spri,Streptomyces pristinaespiralis HCCB 10218
gn:T04074,scz,Streptomyces sp. CFMR 7
gn:T04075,att,Acinetobacter sp. TTH0-4
gn:T04076,col,Capnocytophaga sp. oral taxon 323 F0383
gn:T04077,mym,Myxococcus hansupus (Myxococcus sp. mixupus)
gn:T04078,arl,Arthrobacter sp. LS16
gn:T04079,tho,Candidatus Thioglobus autotrophicus EF1 (Candidatus Thioglobus autotrophica)
gn:T04080,cbq,Lawsonella clevelandensis (Corynebacteriales bacterium X1698)
gn:T04081,ppsy,Pseudomonas versuta L10.10
gn:T04082,pseh,Pseudonocardia sp. HH130629-09
gn:T04083,acq,Actinomyces sp. oral taxon 414 F0588
gn:T04084,scj,Spiroplasma cantharicola CC-1
gn:T04085,are,Arthrobacter sp. ERGS1:01
gn:T04086,banc,Bartonella ancashensis 20.00 (Candidatus Bartonella ancashi 20.00)
gn:T04087,pur,Psychrobacter urativorans R10.10B
gn:T04088,kphy,Kibdelosporangium phytohabitans KLBMP1111
